,bloomfilter_size,num_hashs,num_train_words,fp_rate
0,16,2,100,1.0
1,16,2,250,1.0
2,16,2,500,1.0
3,16,2,750,1.0
4,16,2,1000,1.0
5,16,2,2500,1.0
6,16,2,5000,1.0
7,16,2,7500,1.0
8,16,2,10000,1.0
9,16,2,25000,1.0
10,16,4,100,1.0
11,16,4,250,1.0
12,16,4,500,1.0
13,16,4,750,1.0
14,16,4,1000,1.0
15,16,4,2500,1.0
16,16,4,5000,1.0
17,16,4,7500,1.0
18,16,4,10000,1.0
19,16,4,25000,1.0
20,16,8,100,1.0
21,16,8,250,1.0
22,16,8,500,1.0
23,16,8,750,1.0
24,16,8,1000,1.0
25,16,8,2500,1.0
26,16,8,5000,1.0
27,16,8,7500,1.0
28,16,8,10000,1.0
29,16,8,25000,1.0
30,16,16,100,1.0
31,16,16,250,1.0
32,16,16,500,1.0
33,16,16,750,1.0
34,16,16,1000,1.0
35,16,16,2500,1.0
36,16,16,5000,1.0
37,16,16,7500,1.0
38,16,16,10000,1.0
39,16,16,25000,1.0
40,256,2,100,0.3044750274059644
41,256,2,250,0.7757484255628482
42,256,2,500,0.9784059320669108
43,256,2,750,0.9901309559715783
44,256,2,1000,1.0
45,256,2,2500,1.0
46,256,2,5000,1.0
47,256,2,7500,1.0
48,256,2,10000,1.0
49,256,2,25000,1.0
50,256,4,100,0.3822590893539175
51,256,4,250,0.8756316970370526
52,256,4,500,1.0
53,256,4,750,1.0
54,256,4,1000,1.0
55,256,4,2500,1.0
56,256,4,5000,1.0
57,256,4,7500,1.0
58,256,4,10000,1.0
59,256,4,25000,1.0
60,256,8,100,0.5783461460580797
61,256,8,250,0.956593763761035
62,256,8,500,1.0
63,256,8,750,1.0
64,256,8,1000,1.0
65,256,8,2500,1.0
66,256,8,5000,1.0
67,256,8,7500,1.0
68,256,8,10000,1.0
69,256,8,25000,1.0
70,256,16,100,0.6319640824762424
71,256,16,250,0.9625350360320689
72,256,16,500,1.0
73,256,16,750,1.0
74,256,16,1000,1.0
75,256,16,2500,1.0
76,256,16,5000,1.0
77,256,16,7500,1.0
78,256,16,10000,1.0
79,256,16,25000,1.0
80,4096,2,100,0.007129041943344715
81,4096,2,250,0.012958963282937365
82,4096,2,500,0.05112836707114699
83,4096,2,750,0.045424256665287197
84,4096,2,1000,0.13103845640366224
85,4096,2,2500,0.47448816549138245
86,4096,2,5000,0.7834322606765618
87,4096,2,7500,0.9320261822894041
88,4096,2,10000,0.8852584441594096
89,4096,2,25000,0.9289366701319337
90,4096,4,100,0.006975428894614466
91,4096,4,250,0.008814052157380807
92,4096,4,500,0.023862705420223083
93,4096,4,750,0.06465030476898581
94,4096,4,1000,0.12120126197151429
95,4096,4,2500,0.6410802672972723
96,4096,4,5000,0.9024631823998496
97,4096,4,7500,0.9765198760096306
98,4096,4,10000,0.9972546636963028
99,4096,4,25000,1.0
100,4096,8,100,0.006968446483308546
101,4096,8,250,0.009226446350311392
102,4096,8,500,0.02534012057388126
103,4096,8,750,0.10162239508441645
104,4096,8,1000,0.2793974015753564
105,4096,8,2500,0.8478024670316794
106,4096,8,5000,0.9974551212070822
107,4096,8,7500,1.0
108,4096,8,10000,1.0
109,4096,8,25000,1.0
