16,8,100,1.0,
16,8,250,1.0,
16,8,500,1.0,
16,8,750,1.0,
16,8,1000,1.0,
16,8,2500,1.0,
16,8,5000,1.0,
16,8,7500,1.0,
16,8,10000,1.0,
16,8,25000,1.0,
16,16,100,1.0,
16,16,250,1.0,
16,16,500,1.0,
16,16,750,1.0,
16,16,1000,1.0,
16,16,2500,1.0,
16,16,5000,1.0,
16,16,7500,1.0,
16,16,10000,1.0,
16,16,25000,1.0,
16,32,100,1.0,
16,32,250,1.0,
16,32,500,1.0,
16,32,750,1.0,
16,32,1000,1.0,
16,32,2500,1.0,
16,32,5000,1.0,
16,32,7500,1.0,
16,32,10000,1.0,
16,32,25000,1.0,
16,64,100,1.0,
16,64,250,1.0,
16,64,500,1.0,
16,64,750,1.0,
16,64,1000,1.0,
16,64,2500,1.0,
16,64,5000,1.0,
16,64,7500,1.0,
16,64,10000,1.0,
16,64,25000,1.0,
256,8,100,0.89894,
256,8,250,0.94775,
256,8,500,0.98078,
256,8,750,0.98535,
256,8,1000,0.99373,
256,8,2500,0.99662,
256,8,5000,0.99942,
256,8,7500,0.99944,
256,8,10000,0.99968,
256,8,25000,1.0,
256,16,100,0.93045,
256,16,250,0.98075,
256,16,500,0.99477,
256,16,750,0.99908,
256,16,1000,0.99841,
256,16,2500,0.99906,
256,16,5000,0.99927,
256,16,7500,1.0,
256,16,10000,1.0,
256,16,25000,1.0,
256,32,100,0.90046,
256,32,250,1.0,
256,32,500,1.0,
256,32,750,1.0,
256,32,1000,1.0,
256,32,2500,0.99857,
256,32,5000,1.0,
256,32,7500,1.0,
256,32,10000,1.0,
256,32,25000,1.0,
256,64,100,1.0,
256,64,250,1.0,
256,64,500,1.0,
256,64,750,1.0,
256,64,1000,1.0,
256,64,2500,1.0,
256,64,5000,1.0,
256,64,7500,1.0,
256,64,10000,1.0,
256,64,25000,1.0,
4096,8,100,0.20253,
4096,8,250,0.48333,
4096,8,500,0.73119,
4096,8,750,0.80154,
4096,8,1000,0.86521,
4096,8,2500,0.93099,
4096,8,5000,0.96365,
4096,8,7500,0.9819,
4096,8,10000,0.98509,
4096,8,25000,0.99533,
4096,16,100,0.32478,
4096,16,250,0.62311,
4096,16,500,0.79312,
4096,16,750,0.84571,
4096,16,1000,0.88973,
4096,16,2500,0.95154,
4096,16,5000,0.97909,
4096,16,7500,0.99284,
4096,16,10000,0.99122,
4096,16,25000,0.99909,
4096,32,100,0.33433,
4096,32,250,0.7309,
4096,32,500,0.83801,
4096,32,750,0.90372,
4096,32,1000,0.93271,
4096,32,2500,0.9799,
4096,32,5000,0.99338,
4096,32,7500,0.99661,
4096,32,10000,0.99792,
4096,32,25000,0.99954,
4096,64,100,0.5032,
4096,64,250,0.80507,
4096,64,500,0.90034,
4096,64,750,0.96448,
4096,64,1000,0.96167,
4096,64,2500,0.99627,
4096,64,5000,1.0,
4096,64,7500,1.0,
4096,64,10000,1.0,
4096,64,25000,1.0,
65536,8,100,0.0433,
65536,8,250,0.14963,
65536,8,500,0.30445,
65536,8,750,0.42952,
65536,8,1000,0.50822,
65536,8,2500,0.70935,
65536,8,5000,0.82372,
65536,8,7500,0.86478,
65536,8,10000,0.891,
65536,8,25000,0.94791,
65536,16,100,0.11337,
65536,16,250,0.24208,
65536,16,500,0.43054,
65536,16,750,0.52883,
65536,16,1000,0.56442,
65536,16,2500,0.75914,
65536,16,5000,0.86244,
65536,16,7500,0.89468,
65536,16,10000,0.91241,
65536,16,25000,0.95766,
65536,32,100,0.08577,
65536,32,250,0.24396,
65536,32,500,0.43146,
65536,32,750,0.54266,
65536,32,1000,0.61579,
65536,32,2500,0.77662,
65536,32,5000,0.86543,
65536,32,7500,0.90534,
65536,32,10000,0.92026,
65536,32,25000,0.96689,
65536,64,100,0.07841,
65536,64,250,0.25311,
65536,64,500,0.45353,
65536,64,750,0.5541,
65536,64,1000,0.6295,
65536,64,2500,0.80333,
65536,64,5000,0.89243,
65536,64,7500,0.93238,
65536,64,10000,0.94241,
65536,64,25000,0.97715,
1048576,8,100,0.00249,
1048576,8,250,0.00585,
1048576,8,500,0.01393,
1048576,8,750,0.02436,
1048576,8,1000,0.02971,
1048576,8,2500,0.10525,
1048576,8,5000,0.22672,
1048576,8,7500,0.30654,
1048576,8,10000,0.38779,
1048576,8,25000,0.62441,
1048576,16,100,0.00211,
1048576,16,250,0.00754,
1048576,16,500,0.01729,
1048576,16,750,0.03461,
1048576,16,1000,0.04943,
1048576,16,2500,0.15702,
1048576,16,5000,0.30141,
1048576,16,7500,0.40152,
1048576,16,10000,0.48218,
1048576,16,25000,0.6933,
1048576,32,100,0.00241,
1048576,32,250,0.00802,
1048576,32,500,0.0231,
1048576,32,750,0.03899,
1048576,32,1000,0.06113,
1048576,32,2500,0.1828,
1048576,32,5000,0.33341,
1048576,32,7500,0.43388,
1048576,32,10000,0.51221,
1048576,32,25000,0.71726,
1048576,64,100,0.0027,
1048576,64,250,0.00797,
1048576,64,500,0.02102,
1048576,64,750,0.04276,
1048576,64,1000,0.06489,
1048576,64,2500,0.17278,
1048576,64,5000,0.33654,
1048576,64,7500,0.44414,
1048576,64,10000,0.51633,
1048576,64,25000,0.7303,
